"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q_RecaptchaScore","Q3","DV_accept","DV_accept.1","DV_accept.2","DV_accept.3","DV_comfort_scales_1","DV_comfort_scales_2","DV_comfort_scales_3","DV_comfort_scales_4","DV_comfort_scales_5","sec2_GDPR.aware","GDPR.Knowledge","sec2_CCPA.aware","CCPA.Knowledge","sec2_T.F.cookies","sec2_T.F.cookies_2","sec2_T.F.cookies.3","sec2_T.F.cookies_4","sec2_T.F.cookies_5","sec2_T.F.cookies_6","sec2_privacy.notice","sec2_cookie.time","sec2_cookie.accept","sec2_cookie_review","sec2_cookie.motiv.A","sec2_cookie.motiv.A_7_TEXT","sec2_cookie.motiv.D","sec2_cookie.motiv.D_7_TEXT","sec2_comfort.scale_1","sec2_comfort.scale_2","sec2_comfort.scale_3","sec2_comfort.scale_4","sec2_comfort.scale_5","sec2_comfort.scale_6","Large_Established_Firm","Start_up","Online_Advertising_Tech_Company","Hardware_Tech_Company","Local_Business","Hospital_Medical_Facility","US_Government_Website","Non_profit_Organization","Personal_Blog","Google","Amazon","Meta","Apple","TikTok","sec2_govt.big.tech_1","sec2_govt.big.tech_2","sec2_govt.big.tech_3","sec3_social.media","sec3_browser","sec3_browser_9_TEXT","sec3_avg.brows.","sec3_web.purpose","sec3_web.purpose_8_TEXT","sec3_device","sec3_device_9_TEXT","sec3_attention.check","sec3_internet.use","dem.age","Age","Gender","dem.gender_5_TEXT","Education","Attention Check","Income","Employment","dem_employment_7_TEXT","Political","Phone","dem_phone.device_5_TEXT","Q158","ResponseID","participantId","stimulus.id","Composite_DV","comp_govt","income_category","comp_comfort"
"1","2023-07-12 23:21:16","2023-07-12 23:34:42","IP Address","76.175.98.85","100","806","True","2023-07-12 23:34:43","R_2V432N00R77JTBD","","","","","34.381","-118.6164","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",1,1,1,1,1,1,"Not at all aware","Not knowledgeable at all","Moderately aware","Very knowledgeable","True","False","True","False","True","False","More than once per day","30 seconds to 1 minute","Never – I never accept the default policy; I always click “Decline” and/or modify my privacy settings.","Occasionally - I read them sometimes, depending on the website or context","Because the cookie policy was necessary to view the website.","","To protect my online privacy","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,"Twitter","Google Chrome","","1 hour","Education,News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Tablet (e.g., iPad, Kindle Fire, Samsung Galaxy Tab)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Create a website","Numeric Entry:",63,"Female","","Bachelor's Degree","Zenith Computing","$50,000-$74,999","Employed Full-Time","","Conservative","Android","","1","R_2V432N00R77JTBD","C47AFFCD72EB4F5E954A1A6E3FC13EF4","small-old-ads",1,7,"Middle_Income",1
"2","2023-07-12 23:24:12","2023-07-12 23:34:55","IP Address","68.133.39.6","100","643","True","2023-07-12 23:34:56","R_2PbWS1LFseKastL","","","","","43.0037","-78.8496","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",2,3,3,3,2,2,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","True","False","True","True","True","False","About once a week","Less than 10 seconds","Occasionally – Sometimes I will accept the default policy, sometimes I will decline the default policy and/or modify my privacy settings using these screens.","Never - I never read websites' privacy policies","Out of habit or convenience.,Because the cookie policy was necessary to view the website.","","To protect my online privacy,To hide my online activity from the website operator,To prevent the company from accessing personally sensitive information about me","",3,3,3,3,2,2,3,3,2,4,3,3,4,3,3,3,3,3,3,2,5,5,4,"Twitter","Google Chrome","","1 hour","News,Entertainment","","Computer (desktop/laptop),Mobile phone or smartphone","","Close family and friends (fewer than 20 people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself","Numeric Entry:",64,"Female","","High School","Zephyr Technologies","$25,000-$49,999","Retired","","Slightly conservative","Android","","1","R_2PbWS1LFseKastL","AF41817F21D14D81BADBE51AF357956C","small-old-ads",2.5,4.66666666666667,"Low_Income",2.66666666666667
"3","2023-07-12 23:35:43","2023-07-12 23:48:44","IP Address","70.36.136.33","100","781","True","2023-07-12 23:48:45","R_3HuVDkrex4tLSTe","","","","","37.8922","-122.2729","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",2,2,2,1,1,2,"Slightly aware","Slightly knowledgeable","Somewhat aware","Moderately knowledgeable","True","False","True","False","True","False","More than once per day","10-30 seconds","Rarely – I rarely accept the default policy; that is I will usually click “Decline” and/or modify my privacy settings.","Frequently - I read them most of the time, but not always","Because the cookie policy was necessary to view the website.","","To protect my online privacy,To hide my online activity from the website operator,To prevent the company from accessing personally sensitive information about me,Because I believe selecting “Accept” is not my best interest","",2,1,2,1,1,1,2,2,1,2,3,3,1,2,2,1,1,1,1,1,7,7,7,"Facebook,Instagram,Twitter,Snapchat,Linkedin,TikTok","Google Chrome","","2 hours","Education,News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Tablet (e.g., iPad, Kindle Fire, Samsung Galaxy Tab)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Create a website,Use a coding/programming language (e.g. Python, Java, JavaScript, C++, Ruby, SQL)","Numeric Entry:",60,"Female","","Bachelor's Degree","Zephyr Technologies","$50,000-$74,999","Employed Full-Time","","Very liberal","Android","","1","R_3HuVDkrex4tLSTe","F26D571E5EF143E68D7E1AAF2CB4A8C8","large-new-ads",1.66666666666667,7,"Middle_Income",1.33333333333333
"4","2023-07-12 23:35:38","2023-07-12 23:52:04","IP Address","172.59.40.211","100","986","True","2023-07-12 23:52:05","R_1mErBavFD8M22XF","","","","","31.7596","-106.4884","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",7,4,4,4,1,1,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","True","True","True","False","False","False","About once per day","Less than 10 seconds","Occasionally – Sometimes I will accept the default policy, sometimes I will decline the default policy and/or modify my privacy settings using these screens.","Never - I never read websites' privacy policies","Out of habit or convenience.","","Because I believe selecting “Accept” is not my best interest","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,"Facebook,Instagram,Twitter,Linkedin,TikTok","Google Chrome","","More than 8 hours","Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Create a website,Use a coding/programming language (e.g. Python, Java, JavaScript, C++, Ruby, SQL)","Numeric Entry:",21,"Female","","Trade School","Zenith Computing","$25,000-$49,999","Employed Full-Time","","Very conservative","Android","","1","R_1mErBavFD8M22XF","DF679D91F6974EEB86491F4C4B3ED3B5","large-old-products",3.5,3,"Low_Income",1
"5","2023-07-12 23:32:59","2023-07-12 23:52:35","IP Address","99.47.243.217","100","1176","True","2023-07-12 23:52:36","R_3ISlkXaSjvJ8QFP","","","","","33.7372","-117.8232","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",2,2,2,2,4,2,"Not at all aware","Not knowledgeable at all","Slightly aware","Slightly knowledgeable","True","True","True","True","True","True","About once a week","10-30 seconds","Occasionally – Sometimes I will accept the default policy, sometimes I will decline the default policy and/or modify my privacy settings using these screens.","Rarely - I rarely read them unless it's a website or service I'm particularly concerned about","To reduce the number of ads I see.","","To prevent the company from accessing personally sensitive information about me","",4,4,4,4,3,2,6,2,2,2,3,5,6,3,2,6,6,6,6,6,2,2,2,"Facebook,Instagram,TikTok","Google Chrome","","2 hours","News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Smart home devices (e.g., Amazon Echo, Google Home)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site","Numeric Entry:",68,"Female","","Bachelor's Degree","Zenith Computing","$75,000-$99,999","Retired","","Slightly conservative","iOS/iPhone","","1","R_3ISlkXaSjvJ8QFP","9CAB3C84E979458D9AAD1E45477A9219","small-old-ads",2.33333333333333,2,"Middle_Income",3.5
"6","2023-07-12 23:34:20","2023-07-12 23:56:03","IP Address","174.62.229.26","100","1303","True","2023-07-12 23:56:04","R_1C9inRTRBVggN3S","","","","","41.8482","-87.6521","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",1,1,1,1,1,1,"Extremely aware","Moderately knowledgeable","Slightly aware","Slightly knowledgeable","True","False","True","True","True","False","More than once per day","Less than 10 seconds","Never – I never accept the default policy; I always click “Decline” and/or modify my privacy settings.","Occasionally - I read them sometimes, depending on the website or context","Because the cookie policy was necessary to view the website.","","To protect my online privacy,Because I believe selecting “Accept” is not my best interest","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,7,4,5,"None of the above","Firefox","","3 hours","News,Shopping,Other (please specify):","research","Computer (desktop/laptop),Mobile phone or smartphone","","A large number of ‘friends’ or contacts (200+ people)","Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices","Numeric Entry:",66,"Female","","High School","Zenith Computing","$25,000-$49,999","Seeking opportunities","","Very liberal","Android","","1","R_1C9inRTRBVggN3S","A112A84CF4F542B4A72355C5320D5BF7","large-new-ads",1,5.33333333333333,"Low_Income",1
"7","2023-07-13 00:29:50","2023-07-13 00:44:31","IP Address","76.176.4.202","100","881","True","2023-07-13 00:44:32","R_3qPb6ykPhiGs1GP","","","","","32.7203","-117.1552","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",1,2,1,1,1,1,"Moderately aware","Moderately knowledgeable","Moderately aware","Moderately knowledgeable","True","False","True","False","True","False","More than once per day","Less than 10 seconds","Rarely – I rarely accept the default policy; that is I will usually click “Decline” and/or modify my privacy settings.","Occasionally - I read them sometimes, depending on the website or context","Because the cookie policy was necessary to view the website.","","To protect my online privacy","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,6,"Facebook,Twitter","Mozilla","","1 hour","Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone","","I don’t share photos/videos of myself or others online","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Create a website","Numeric Entry:",53,"Male","","Bachelor's Degree","Zenith Computing","Prefer not to say","Prefer not to say","","Prefer not to say","Prefer not to say","","1","R_3qPb6ykPhiGs1GP","432A8BC3271E4699A1CCD64712CE25DE","small-old-ads",1.16666666666667,5.66666666666667,"Not_Applicable",1
"8","2023-07-13 00:36:00","2023-07-13 00:45:06","IP Address","198.72.145.166","100","545","True","2023-07-13 00:45:07","R_3NNWJsJQFmlmOEr","","","","","33.6647","-117.9663","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",7,6,7,7,7,7,"Slightly aware","Moderately knowledgeable","Somewhat aware","Moderately knowledgeable","True","True","True","True","False","True","More than once per day","30 seconds to 1 minute","Always – I always accept the default cookie & data use policies","​​Always - I read them thoroughly every time I visit a website.","To protect my privacy and control my personal data.","","To protect my online privacy","",6,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,6,6,5,6,5,"Facebook,Instagram,Twitter,Snapchat,TikTok","Google Chrome","","4 hours","Entertainment","","Computer (desktop/laptop),Mobile phone or smartphone,Tablet (e.g., iPad, Kindle Fire, Samsung Galaxy Tab),Games console (e.g., PlayStation, Xbox, Wii, Nintendo DS),Smart home devices (e.g., Amazon Echo, Google Home)","","Close family and friends (fewer than 20 people)","Save a photo that you find online,Enabling and, or disabling internet browser cookies on your personal devices,Change your home network’s WiFi password,Post online music or a video that you have created yourself","Numeric Entry:",34,"Male","","Master's Degree","Zenith Computing","$200,000 and up","Employed Full-Time","","Very liberal","Android","","1","R_3NNWJsJQFmlmOEr","304B703B1410477DAB3A032D0FF2E0FD","large-old-products",6.83333333333333,5.33333333333333,"Upper_Income",6.83333333333333
"9","2023-07-13 00:30:36","2023-07-13 00:45:14","IP Address","5.182.110.103","100","877","True","2023-07-13 00:45:14","R_Rhkj0TrPBY8gB2N","","","","","33.7485","-84.3871","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",6,5,5,5,3,3,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","True","True","True","True","True","False","More than once per day","10-30 seconds","Frequently – I often accept the default cookie & data use policies","Rarely - I rarely read them unless it's a website or service I'm particularly concerned about","Out of habit or convenience.,Because the cookie policy was necessary to view the website.","","To protect my online privacy,To hide my online activity from the website operator,To prevent the company from accessing personally sensitive information about me,Because I believe selecting “Accept” is not my best interest","",3,5,5,4,1,1,4,3,3,5,4,5,5,4,5,5,5,5,5,5,5,3,5,"Instagram,Twitter,Snapchat,Linkedin,TikTok","Safari","","More than 8 hours","Education,News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Tablet (e.g., iPad, Kindle Fire, Samsung Galaxy Tab)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself","Numeric Entry:",25,"Female","","Bachelor's Degree","Zenith Computing","$25,000-$49,999","Employed Full-Time","","No preference","iOS/iPhone","","1","R_Rhkj0TrPBY8gB2N","DD62120F4C7F48B7A8B48973EC2F2501","large-old-ads",4.5,4.33333333333333,"Low_Income",3.16666666666667
"10","2023-07-13 00:30:58","2023-07-13 00:45:28","IP Address","71.207.126.218","100","869","True","2023-07-13 00:45:28","R_1P4RVPr8MEfarRI","","","","","39.9649","-77.0086","anonymous","EN","","I have read and understood the study purpose and participation involvement","","","",6,6,6,6,6,6,"Somewhat aware","Slightly knowledgeable","Slightly aware","Slightly knowledgeable","True","False","True","True","True","True","About once a week","Less than 10 seconds","Frequently – I often accept the default cookie & data use policies","Rarely - I rarely read them unless it's a website or service I'm particularly concerned about","Out of habit or convenience.","","To protect my online privacy","",6,6,6,6,6,3,6,4,5,5,5,6,6,6,5,6,6,6,6,6,5,4,5,"Facebook,Instagram,Twitter,Linkedin,TikTok","Microsoft Edge","","1 hour","Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Tablet (e.g., iPad, Kindle Fire, Samsung Galaxy Tab),Games console (e.g., PlayStation, Xbox, Wii, Nintendo DS),Wearable device (e.g., Apple Watch, FitBit),Smart home devices (e.g., Amazon Echo, Google Home)","","A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Create a website,Use a coding/programming language (e.g. Python, Java, JavaScript, C++, Ruby, SQL)","Numeric Entry:",38,"Male","","High School","Zephyr Technologies","$50,000-$74,999","Employed Full-Time","","Slightly conservative","Android","","1","R_1P4RVPr8MEfarRI","0D4573619FE44AFBA261F7767D276C07","small-old-ads",6,4.66666666666667,"Middle_Income",5.5
