"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q_RecaptchaScore","Q3","DV_accept","DV_accept.1","DV_accept.2","DV_accept.3","DV_comfort_scales_1","DV_comfort_scales_2","DV_comfort_scales_3","DV_comfort_scales_4","DV_comfort_scales_5","sec2_GDPR.aware","GDPR.Knowledge","sec2_CCPA.aware","CCPA.Knowledge","sec2_T.F.cookies","sec2_T.F.cookies_2","sec2_T.F.cookies.3","sec2_T.F.cookies_4","sec2_T.F.cookies_5","sec2_T.F.cookies_6","sec2_privacy.notice","sec2_cookie.time","sec2_cookie.accept","sec2_cookie_review","sec2_cookie.motiv.A","sec2_cookie.motiv.A_7_TEXT","sec2_cookie.motiv.D","sec2_cookie.motiv.D_7_TEXT","sec2_comfort.scale_1","sec2_comfort.scale_2","sec2_comfort.scale_3","sec2_comfort.scale_4","sec2_comfort.scale_5","sec2_comfort.scale_6","Large_Established_Firm","Start_up","Online_Advertising_Tech_Company","Hardware_Tech_Company","Local_Business","Hospital_Medical_Facility","US_Government_Website","Non_profit_Organization","Personal_Blog","Google","Amazon","Meta","Apple","TikTok","sec2_govt.big.tech_1","sec2_govt.big.tech_2","sec2_govt.big.tech_3","sec3_social.media","sec3_browser","sec3_browser_9_TEXT","sec3_avg.brows.","sec3_web.purpose","sec3_web.purpose_8_TEXT","sec3_device","sec3_device_9_TEXT","sec3_attention.check","sec3_internet.use","dem.age","Age","Gender","dem.gender_5_TEXT","Education","Attention.Check","Income","Employment","dem_employment_7_TEXT","Political","Phone","dem_phone.device_5_TEXT","Q158","ResponseID","participantId","stimulus.id","Composite_DV","comp_govt","income_category","comp_comfort"
"2023-07-12 23:21:16","2023-07-12 23:34:42","IP Address","76.175.98.85",100,806,"True","2023-07-12 23:34:43","R_2V432N00R77JTBD",NA,NA,NA,NA,34.381,-118.6164,"anonymous","EN",NA,"I have read and understood the study purpose and participation involvement",NA,NA,NA,1,1,1,1,1,1,"Not at all aware","Not knowledgeable at all","Moderately aware","Very knowledgeable","True","False","True","False","True","False","More than once per day","30 seconds to 1 minute","Never – I never accept the default policy; I always click “Decline” and/or modify my privacy settings.","Occasionally - I read them sometimes, depending on the website or context","Because the cookie policy was necessary to view the website.","","To protect my online privacy","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,"Twitter","Google Chrome","","1 hour","Education,News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Tablet (e.g., iPad, Kindle Fire, Samsung Galaxy Tab)",NA,"A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Create a website","Numeric Entry:",63,"Female",NA,"Bachelor's Degree","Zenith Computing","$50,000-$74,999","Employed Full-Time","","Conservative","Android","",1,"R_2V432N00R77JTBD","C47AFFCD72EB4F5E954A1A6E3FC13EF4","small-old-ads",1,7,"Middle_Income",1
"2023-07-12 23:35:38","2023-07-12 23:52:04","IP Address","172.59.40.211",100,986,"True","2023-07-12 23:52:05","R_1mErBavFD8M22XF",NA,NA,NA,NA,31.7596,-106.4884,"anonymous","EN",NA,"I have read and understood the study purpose and participation involvement",NA,NA,NA,7,4,4,4,1,1,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","True","True","True","False","False","False","About once per day","Less than 10 seconds","Occasionally – Sometimes I will accept the default policy, sometimes I will decline the default policy and/or modify my privacy settings using these screens.","Never - I never read websites' privacy policies","Out of habit or convenience.","","Because I believe selecting “Accept” is not my best interest","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,"Facebook,Instagram,Twitter,Linkedin,TikTok","Google Chrome","","More than 8 hours","Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone",NA,"A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Create a website,Use a coding/programming language (e.g. Python, Java, JavaScript, C++, Ruby, SQL)","Numeric Entry:",21,"Female",NA,"Trade School","Zenith Computing","$25,000-$49,999","Employed Full-Time","","Very conservative","Android","",1,"R_1mErBavFD8M22XF","DF679D91F6974EEB86491F4C4B3ED3B5","large-old-products",3.5,3,"Low_Income",1
"2023-07-12 23:32:59","2023-07-12 23:52:35","IP Address","99.47.243.217",100,1176,"True","2023-07-12 23:52:36","R_3ISlkXaSjvJ8QFP",NA,NA,NA,NA,33.7372,-117.8232,"anonymous","EN",NA,"I have read and understood the study purpose and participation involvement",NA,NA,NA,2,2,2,2,4,2,"Not at all aware","Not knowledgeable at all","Slightly aware","Slightly knowledgeable","True","True","True","True","True","True","About once a week","10-30 seconds","Occasionally – Sometimes I will accept the default policy, sometimes I will decline the default policy and/or modify my privacy settings using these screens.","Rarely - I rarely read them unless it's a website or service I'm particularly concerned about","To reduce the number of ads I see.","","To prevent the company from accessing personally sensitive information about me","",4,4,4,4,3,2,6,2,2,2,3,5,6,3,2,6,6,6,6,6,2,2,2,"Facebook,Instagram,TikTok","Google Chrome","","2 hours","News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Smart home devices (e.g., Amazon Echo, Google Home)",NA,"A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site","Numeric Entry:",68,"Female",NA,"Bachelor's Degree","Zenith Computing","$75,000-$99,999","Retired","","Slightly conservative","iOS/iPhone","",1,"R_3ISlkXaSjvJ8QFP","9CAB3C84E979458D9AAD1E45477A9219","small-old-ads",2.33333333333333,2,"Middle_Income",3.5
"2023-07-12 23:34:20","2023-07-12 23:56:03","IP Address","174.62.229.26",100,1303,"True","2023-07-12 23:56:04","R_1C9inRTRBVggN3S",NA,NA,NA,NA,41.8482,-87.6521,"anonymous","EN",NA,"I have read and understood the study purpose and participation involvement",NA,NA,NA,1,1,1,1,1,1,"Extremely aware","Moderately knowledgeable","Slightly aware","Slightly knowledgeable","True","False","True","True","True","False","More than once per day","Less than 10 seconds","Never – I never accept the default policy; I always click “Decline” and/or modify my privacy settings.","Occasionally - I read them sometimes, depending on the website or context","Because the cookie policy was necessary to view the website.","","To protect my online privacy,Because I believe selecting “Accept” is not my best interest","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,7,4,5,"None of the above","Firefox","","3 hours","News,Shopping,Other (please specify):","research","Computer (desktop/laptop),Mobile phone or smartphone",NA,"A large number of ‘friends’ or contacts (200+ people)","Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices","Numeric Entry:",66,"Female",NA,"High School","Zenith Computing","$25,000-$49,999","Seeking opportunities","","Very liberal","Android","",1,"R_1C9inRTRBVggN3S","A112A84CF4F542B4A72355C5320D5BF7","large-new-ads",1,5.33333333333333,"Low_Income",1
"2023-07-13 00:30:36","2023-07-13 00:45:14","IP Address","5.182.110.103",100,877,"True","2023-07-13 00:45:14","R_Rhkj0TrPBY8gB2N",NA,NA,NA,NA,33.7485,-84.3871,"anonymous","EN",NA,"I have read and understood the study purpose and participation involvement",NA,NA,NA,6,5,5,5,3,3,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","True","True","True","True","True","False","More than once per day","10-30 seconds","Frequently – I often accept the default cookie & data use policies","Rarely - I rarely read them unless it's a website or service I'm particularly concerned about","Out of habit or convenience.,Because the cookie policy was necessary to view the website.","","To protect my online privacy,To hide my online activity from the website operator,To prevent the company from accessing personally sensitive information about me,Because I believe selecting “Accept” is not my best interest","",3,5,5,4,1,1,4,3,3,5,4,5,5,4,5,5,5,5,5,5,5,3,5,"Instagram,Twitter,Snapchat,Linkedin,TikTok","Safari","","More than 8 hours","Education,News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Tablet (e.g., iPad, Kindle Fire, Samsung Galaxy Tab)",NA,"A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself","Numeric Entry:",25,"Female",NA,"Bachelor's Degree","Zenith Computing","$25,000-$49,999","Employed Full-Time","","No preference","iOS/iPhone","",1,"R_Rhkj0TrPBY8gB2N","DD62120F4C7F48B7A8B48973EC2F2501","large-old-ads",4.5,4.33333333333333,"Low_Income",3.16666666666667
"2023-07-13 00:31:25","2023-07-13 00:46:19","IP Address","172.58.165.138",100,894,"True","2023-07-13 00:46:20","R_26eFp3C8CitGZ8w",NA,NA,NA,NA,41.85,-87.7165,"anonymous","EN",NA,"I have read and understood the study purpose and participation involvement",NA,NA,NA,6,6,6,6,6,6,"Not at all aware","Not knowledgeable at all","Not at all aware","Not knowledgeable at all","False","False","True","True","True","False","About once a month","Less than 10 seconds","Frequently – I often accept the default cookie & data use policies","Occasionally - I read them sometimes, depending on the website or context","Out of habit or convenience.","","To prevent the company from accessing personally sensitive information about me","",3,3,3,3,3,3,6,3,3,3,5,6,3,5,3,4,4,4,4,4,6,6,6,"Twitter","Google Chrome","","3 hours","News,Entertainment","","Computer (desktop/laptop),Mobile phone or smartphone",NA,"A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself","Numeric Entry:",29,"Male",NA,"High School","Zenith Computing","$25,000-$49,999","Employed Full-Time","","Slightly conservative","Android","",1,"R_26eFp3C8CitGZ8w","C281416C659D4359A9040E6CB4243D29","large-new-ads",6,6,"Low_Income",3
"2023-07-13 00:37:28","2023-07-13 00:47:22","IP Address","97.97.147.135",100,594,"True","2023-07-13 00:47:23","R_2c28fn5qqbvztCQ",NA,NA,NA,NA,35.3288,-118.9748,"anonymous","EN",NA,"I have read and understood the study purpose and participation involvement",NA,NA,NA,1,1,1,1,1,1,"Moderately aware","Moderately knowledgeable","Extremely aware","Extremely knowledgeable","True","True","True","True","True","False","About once a week","Less than 10 seconds","Never – I never accept the default policy; I always click “Decline” and/or modify my privacy settings.","Occasionally - I read them sometimes, depending on the website or context","To protect my privacy and control my personal data.","","To protect my online privacy","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Facebook,Instagram,Twitter","Google Chrome","","2 hours","Education,News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone,Tablet (e.g., iPad, Kindle Fire, Samsung Galaxy Tab)",NA,"A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Create a website","Numeric Entry:",42,"Male",NA,"Bachelor's Degree","Zenith Computing","$50,000-$74,999","Employed Full-Time","","Conservative","Android","",1,"R_2c28fn5qqbvztCQ","A4634667043F492A993D08B6484090E5","large-new-ads",1,1,"Middle_Income",1
"2023-07-13 00:32:25","2023-07-13 00:49:05","IP Address","107.137.159.166",100,1000,"True","2023-07-13 00:49:06","R_1MQbEPVl4aUMtOB",NA,NA,NA,NA,35.2296,-80.843,"anonymous","EN",NA,"I have read and understood the study purpose and participation involvement",NA,NA,NA,1,3,2,2,1,2,"Extremely aware","Moderately knowledgeable","Somewhat aware","Slightly knowledgeable","True","False","True","False","True","False","About once per day","Less than 10 seconds","Never – I never accept the default policy; I always click “Decline” and/or modify my privacy settings.","Occasionally - I read them sometimes, depending on the website or context","Because the cookie policy was necessary to view the website.","","Because I believe selecting “Accept” is not my best interest,Other (please specify):","I always opt out of anything and everything I can",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,4,"Instagram,Twitter","Google Chrome","","6 hours","Education,News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone",NA,"A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Create a website,Use a coding/programming language (e.g. Python, Java, JavaScript, C++, Ruby, SQL)","Numeric Entry:",48,"Male",NA,"Master's Degree","Zenith Computing","$75,000-$99,999","Employed Part-Time","","No preference","Android","",1,"R_1MQbEPVl4aUMtOB","21CC1F4A3630480AAC403B2C1BD514C5","small-old-ads",1.83333333333333,5,"Middle_Income",1.66666666666667
"2023-07-13 00:40:22","2023-07-13 00:50:36","IP Address","23.124.117.158",100,614,"True","2023-07-13 00:50:37","R_2EvoMxWUf2N2K3k",NA,NA,NA,NA,39.1397,-86.5141,"anonymous","EN",NA,"I have read and understood the study purpose and participation involvement",NA,NA,NA,3,3,2,3,3,3,"Not at all aware","Not knowledgeable at all","Slightly aware","Not knowledgeable at all","True","False","True","True","True","False","About once per day","Less than 10 seconds","Occasionally – Sometimes I will accept the default policy, sometimes I will decline the default policy and/or modify my privacy settings using these screens.","Rarely - I rarely read them unless it's a website or service I'm particularly concerned about","Out of habit or convenience.,Because the cookie policy was necessary to view the website.","","To protect my online privacy,To prevent the company from accessing personally sensitive information about me","",2,5,3,3,1,1,3,4,1,2,4,6,6,4,3,1,3,2,2,1,7,7,7,"Instagram,Twitter","Firefox","","4 hours","News,Entertainment,Shopping,Work/Business","","Computer (desktop/laptop),Mobile phone or smartphone",NA,"A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Change your home network’s WiFi password,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself,Use a coding/programming language (e.g. Python, Java, JavaScript, C++, Ruby, SQL)","Numeric Entry:",34,"Male",NA,"High School","Zenith Computing","$25,000-$49,999","Employed Part-Time","","Slightly conservative","iOS/iPhone","",1,"R_2EvoMxWUf2N2K3k","4F1063188F12436C938D96CFE22D8287","small-old-ads",2.83333333333333,7,"Low_Income",2.5
"2023-07-13 00:35:49","2023-07-13 00:50:47","IP Address","107.215.176.61",100,897,"True","2023-07-13 00:50:47","R_3ek1qZPaevvpDwI",NA,NA,NA,NA,41.8482,-87.6521,"anonymous","EN",NA,"I have read and understood the study purpose and participation involvement",NA,NA,NA,1,3,3,3,2,2,"Moderately aware","Slightly knowledgeable","Not at all aware","Not knowledgeable at all","True","False","True","False","True","False","About once a week","Less than 10 seconds","Rarely – I rarely accept the default policy; that is I will usually click “Decline” and/or modify my privacy settings.","Never - I never read websites' privacy policies","Because the cookie policy was necessary to view the website.","","Because I believe selecting “Accept” is not my best interest","",3,3,3,2,1,1,2,2,2,2,3,2,2,2,2,2,3,2,2,1,5,4,4,"Instagram,Twitter","Firefox","","More than 8 hours","News,Entertainment","","Computer (desktop/laptop),Mobile phone or smartphone",NA,"A large number of ‘friends’ or contacts (200+ people)","Save a photo that you find online,Change your privacy settings (e.g., on a social networking site or search engine),Enabling and, or disabling internet browser cookies on your personal devices,Use word processing software such as Microsoft Word, Google Docs, or Apple Pages,Remove people from your ‘friends’ or contact lists on a social networking site,Post online music or a video that you have created yourself","Numeric Entry:",33,"Male",NA,"High School","Zenith Computing","$125,000-$149,999","Seeking opportunities","","No preference","Android","",1,"R_3ek1qZPaevvpDwI","3D18040236CD496FA2BD532C4AD2AD72","small-old-ads",2.33333333333333,4.33333333333333,"Upper_Income",2.16666666666667
